,eo_code,be_code,head_type,be_description,eo_class_code,eo_class_description,eo_model_name,eo_category_spec,eo_model_id,eo_description,operation_start_date,expected_operation_period_years,operation_finish_date_calc,sap_planned_finish_operation_date,operation_finish_date_sap_upd,sap_system_status,sap_user_status,be_eo_data_row_no,operation_finish_date_iteration_0,operation_finish_date_iteration_1,operation_finish_date_iteration_2,operation_status,conservation_start_date
45,100000008677,1200.0,head,"АО ""Полюс Вернинское""",E03_01,Экскаваторы гидравлические,Экскаватор гидравл. PC400-7,Гидравлические экскаваторы с объемом ковша 1-5 м3,109.0,Экскаватор гидравл. PC400-7 №1211,2014-05-01,12,2026-05-01 00:00:00,2024-05-01,2024-05-01 00:00:00,УСТН,,,,,,,
46,100000008678,1200.0,head,"АО ""Полюс Вернинское""",E03_01,Экскаваторы гидравлические,Экскаватор PC400-7,Гидравлические экскаваторы с объемом ковша 1-5 м3,115.0,Экскаватор PC400-7 №1213,2014-07-01,12,2026-07-01 00:00:00,2022-07-01,2022-07-01 00:00:00,МТКУ УСТН,,,,,,,
47,100000008679,1200.0,head,"АО ""Полюс Вернинское""",E03_01,Экскаваторы гидравлические,Экскаватор гидравл. PC220-8,Гидравлические экскаваторы с объемом ковша 1-5 м3,108.0,Экскаватор гидравл. PC220-8 №1214,2015-09-12,12,2027-09-12 00:00:00,2024-09-12,2024-09-12 00:00:00,УСТН,,,,,,,
48,100000022894,1200.0,head,"АО ""Полюс Вернинское""",E03_01,Экскаваторы гидравлические,Экскаватор гидравл. PC400LC-7,Гидравлические экскаваторы с объемом ковша 1-5 м3,111.0,Экскаватор гидравл. PC400LC-7 №1209,2020-08-01,12,2032-08-01 00:00:00,2027-08-01,2027-08-01 00:00:00,УСТН,,,,,,,
49,100000073791,1200.0,head,"АО ""Полюс Вернинское""",E03_01,Экскаваторы гидравлические,Экскаватор гидравл. PC400-7,Гидравлические экскаваторы с объемом ковша 1-5 м3,109.0,Экскаватор гидравл. PC400-7 №1215,2023-01-01,12,2035-01-01 00:00:00,2029-10-01,2029-10-01 00:00:00,УСТН,ВЗКП,,,,,,
50,100000008680,1200.0,head,"АО ""Полюс Вернинское""",E17_11,Погрузчики фронтальные,Погрузчик фронтальный 966H,Погрузчики фронтальные,39.0,Погрузчик фронтальный 966H №TAL02169,2012-10-31,12,2024-10-31 00:00:00,2024-10-31,2024-10-31 00:00:00,УСТН,,,,,,,
51,100000008681,1200.0,head,"АО ""Полюс Вернинское""",E17_11,Погрузчики фронтальные,Погрузчик фронтальный 966H,Погрузчики фронтальные,39.0,Погрузчик фронтальный 966H №TAL02749,2013-08-25,12,2025-08-25 00:00:00,2024-08-25,2024-08-25 00:00:00,УСТН,,,,,,,
52,100000008682,1200.0,head,"АО ""Полюс Вернинское""",E17_11,Погрузчики фронтальные,Погрузчик фронтальный 980H,Погрузчики фронтальные,40.0,Погрузчик фронтальный 980H №1303,2009-02-03,12,2021-02-03 00:00:00,2024-02-03,2024-02-03 00:00:00,УСТН,,,,,,,
53,100000008683,1200.0,head,"АО ""Полюс Вернинское""",E17_11,Погрузчики фронтальные,Погрузчик фронтальный WA500-3,Погрузчики фронтальные,49.0,Погрузчик фронтальный WA500-3 №1308,2014-04-30,12,2026-04-30 00:00:00,2024-12-31,2024-12-31 00:00:00,УСТН,,,,,,,
54,100000008684,1200.0,head,"АО ""Полюс Вернинское""",E17_11,Погрузчики фронтальные,Погрузчик фронтальный WA500-3,Погрузчики фронтальные,49.0,Погрузчик фронтальный WA500-3 №1309,2014-04-30,12,2026-04-30 00:00:00,2023-12-31,2023-12-31 00:00:00,УСТН,,,,,,,
