,eo_code,be_code,be_description,eo_class_code,eo_class_description,eo_model_id,eo_model_name,eo_category_spec,eo_description,operation_status_rus,sap_user_status,sap_system_status,operation_start_date,expected_operation_period_years,operation_finish_date_calc,sap_planned_finish_operation_date,operation_finish_date_sap_upd,operation_finish_date_update_iteration,operation_finish_date,iteration_name,year,in_operation,add_new
821,100000055512,1100.0,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,73.0,Самосвалы Komatsu HD785-5,Автосамосвалы в классе 85-110тонн,Самосвал карьерный HD785-5 №222,Консервация,СИНХ,УСТН,2005-10-18,12,2017-10-18 00:00:00,2022-12-31,2022-12-31 00:00:00,2018-03-01,2018-03-01,operation_finish_date_iteration_0,2022,0,0
822,100000065583,1100.0,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,61.0,Самосвалы БелАЗ-7540,Автосамосвалы в классе 30-40тонн,Самосвал карьерный БЕЛАЗ-7540А №25,,СИНХ,МТКУ УСТН,2006-06-02,12,2018-06-02 00:00:00,2021-01-01,2021-01-01 00:00:00,2199-01-01,2199-01-01,operation_finish_date_iteration_0,2022,0,0
823,100000062375,1100.0,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,65.0,Самосвалы CAT 785C,Автосамосвалы в классе 120-150 тонн,Самосвал карьерный 785C №408,ТУ списано,КОНС СИНХ,МТКУ УСТН,2009-06-16,12,2021-06-16 00:00:00,2021-07-01,2021-07-01 00:00:00,2199-01-01,2199-01-01,operation_finish_date_iteration_0,2022,0,0
824,100000062374,1100.0,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,65.0,Самосвалы CAT 785C,Автосамосвалы в классе 120-150 тонн,Самосвал карьерный 785C №410,ТУ списано,СИНХ,МТКУ УСТН,2009-06-29,12,2021-06-29 00:00:00,2022-01-01,2022-01-01 00:00:00,2199-01-01,2199-01-01,operation_finish_date_iteration_0,2022,0,0
825,100000065578,1100.0,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,61.0,Самосвалы БелАЗ-7540,Автосамосвалы в классе 30-40тонн,Самосвал карьерный БЕЛАЗ-7540А №51,Консервация,КОНС СИНХ,УСТН,2005-06-01,12,2017-06-01 00:00:00,2022-12-31,2022-12-31 00:00:00,2019-06-20,2019-06-20,operation_finish_date_iteration_0,2022,0,0
826,100000065577,1100.0,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,61.0,Самосвалы БелАЗ-7540,Автосамосвалы в классе 30-40тонн,Самосвал карьерный БЕЛАЗ-7540А №52,,СИНХ,МТКУ УСТН,2005-06-01,12,2017-06-01 00:00:00,2019-06-19,2019-06-19 00:00:00,2199-01-01,2199-01-01,operation_finish_date_iteration_0,2022,0,0
827,100000065580,1100.0,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,61.0,Самосвалы БелАЗ-7540,Автосамосвалы в классе 30-40тонн,Самосвал карьерный БЕЛАЗ-7540А №53,Консервация,КОНС СИНХ,УСТН,2005-08-29,12,2017-08-29 00:00:00,2022-12-31,2022-12-31 00:00:00,2019-06-20,2019-06-20,operation_finish_date_iteration_0,2022,0,0
828,100000065579,1100.0,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,61.0,Самосвалы БелАЗ-7540,Автосамосвалы в классе 30-40тонн,Самосвал карьерный БЕЛАЗ-7540А №54,,СИНХ,МТКУ УСТН,2005-07-01,12,2017-07-01 00:00:00,2019-06-19,2019-06-19 00:00:00,2199-01-01,2199-01-01,operation_finish_date_iteration_0,2022,0,0
829,100000065551,1100.0,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,73.0,Самосвалы Komatsu HD785-5,Автосамосвалы в классе 85-110тонн,Самосвал карьерный HD785-5 №229,Консервация,КОНС СИНХ,УСТН,2005-12-14,12,2017-12-14 00:00:00,2022-12-31,2022-12-31 00:00:00,2021-04-01,2021-04-01,operation_finish_date_iteration_0,2022,0,0
830,100000065554,1100.0,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,73.0,Самосвалы Komatsu HD785-5,Автосамосвалы в классе 85-110тонн,Самосвал карьерный HD785-5 №230,Консервация,КОНС СИНХ,УСТН,2006-03-16,12,2018-03-16 00:00:00,2022-12-31,2022-12-31 00:00:00,2021-04-01,2021-04-01,operation_finish_date_iteration_0,2022,0,0
831,100000065556,1100.0,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,73.0,Самосвалы Komatsu HD785-5,Автосамосвалы в классе 85-110тонн,Самосвал карьерный HD785-5 №231,Консервация,КОНС СИНХ,УСТН,2006-03-16,12,2018-03-16 00:00:00,2022-12-31,2022-12-31 00:00:00,2021-04-01,2021-04-01,operation_finish_date_iteration_0,2022,0,0
832,100000065552,1100.0,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,73.0,Самосвалы Komatsu HD785-5,Автосамосвалы в классе 85-110тонн,Самосвал карьерный HD785-5 №232,,СИНХ,МТКУ УСТН,2006-03-16,12,2018-03-16 00:00:00,2021-08-01,2021-08-01 00:00:00,2199-01-01,2199-01-01,operation_finish_date_iteration_0,2022,0,0
833,100000065555,1100.0,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,73.0,Самосвалы Komatsu HD785-5,Автосамосвалы в классе 85-110тонн,Самосвал карьерный HD785-5 №233,Консервация,КОНС СИНХ,УСТН,2006-03-16,12,2018-03-16 00:00:00,2022-12-31,2022-12-31 00:00:00,2021-04-01,2021-04-01,operation_finish_date_iteration_0,2022,0,0
834,100000065557,1100.0,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,73.0,Самосвалы Komatsu HD785-5,Автосамосвалы в классе 85-110тонн,Самосвал карьерный HD785-5 №234,Консервация,КОНС СИНХ,УСТН,2006-06-02,12,2018-06-02 00:00:00,2022-12-31,2022-12-31 00:00:00,2021-04-01,2021-04-01,operation_finish_date_iteration_0,2022,0,0
835,100000065561,1100.0,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,73.0,Самосвалы Komatsu HD785-5,Автосамосвалы в классе 85-110тонн,Самосвал карьерный HD785-5 №236,Консервация,КОНС СИНХ,УСТН,2006-06-02,12,2018-06-02 00:00:00,2022-12-31,2022-12-31 00:00:00,2021-04-01,2021-04-01,operation_finish_date_iteration_0,2022,0,0
